UNSPSC Number,UNSPSC Description
27111511,WIRE CUTTERS
27111512,BOLT CUTTERS
27111518,WIRE LUG CRIMPING TOOL
27111526,DEBURRING TOOL
27111555,CENTER PUNCH
27111558,PARALLEL PIN PUNCH
27111602,HAMMERS
27111701,SCREWDRIVERS
27111702,NUT DRIVERS
27111703,SOCKET SETS
27111704,SOCKETS
27111707,ADJUSTABLE WRENCHES
27111708,PIPE WRENCHES
27111709,SCREW EXTRACTORS
27111711,RATCHETS
27111712,PULLERS
27111713,COMBINATION WRENCHES
27111715,TORQUE WRENCHES
27111720,T HANDLE TAP WRENCHES
27111721,CRANKS
27111722,DIE STOCKS
27111724,HOOK WRENCHES
27111726,SPANNER WRENCHES
27111729,WRENCH SET
27111736,INSULATED SCREWDRIVER
27111739,TORQUE SCREWDRIVER
27111743,RING WRENCH OR SPANNER
27111750,MOLE WRENCH
27111753,RATCHET WRENCHES
27111757,SLUGGING WRENCH
27111761,WATER PUMP WRENCH
27111763,ALLEN WRENCH
27111801,TAPE MEASURES
27111802,LEVELS
27111901,COLD CHISELS
27111905,GRINDERS
27111906,WOOD CHISELS
27111907,WIRE BRUSHES
27111909,SPATULAS
27111929,FLAT HAND FILE
27111930,ROUND FILE
27111931,HALF ROUND FILE
27111932,SQUARE FILE
27111933,THREE SQUARE TRIANGULAR FILE
27112004,SHOVELS
27112103,HAND CLAMPS
27112105,TWEEZERS
27112107,ADJUSTABLE WIDEMOUTH PLIERS
27112108,NEEDLENOSE PLIERS
27112114,DIAGONAL CUT PLIERS
27112127,STRAP WRENCHES
27112128,CURVED NOSE PLIERS
27112139,COMBINATION PLIERS
27112140,CIRCLIP PLIERS
27112151,WIRE-STRIPPING PLIERS
27112303,SCRIBERS
27112402,RIVET TOOLS
27112410,CABLE TIE GUN
27112507,WRECKING OR CROW BAR
27112601,PUTTY KNIVES
27112702,POWER BUFFERS
27112703,POWER DRILLS
27112704,POWER GRINDERS
27112706,POWER PLANES
27112708,POWER SANDERS
27112709,POWER SAWS
27112713,IMPACT WRENCHES
27112714,POWER CAULKING GUNS
27112717,HEAT GUNS
27112719,GLUE GUNS
27112720,TORQUE TOOLS
27112725,POWER RIVETER
27112730,POWER GREASE GUN
27112802,SAW BLADES
27112805,THREADING DIE HAND TOOL
27112806,THREADING TAPS
27112812,COUNTERSINKS
27112820,LUG CRIMPING TOOL DIES
27112828,IMPACT SOCKET
27112829,IMPACT WRENCH ATTACHMENTS AND ACCESSORIES
27112832,SOCKET ATTACHMENTS AND ACCESSORIES
27112836,SCREWDRIVER BIT SET
27112845,DRILL BIT SET
27112901,GREASE GUNS
27112902,INDUSTRIAL FUNNELS
27112903,HAND SPRAYERS
27112906,CAULKING GUNS
27112914,GREASE LUBRICATOR
27113003,APPLICATOR BRUSHES
27113201,GENERAL TOOL KITS
27113301,MAGNIFYING GLASS
27121601,CYLINDER PISTONS
27121602,HYDRAULIC CYLINDERS
27121606,MOUNTING BASES FOR HYDRAULIC CYLINDERS
27121701,HYDRAULIC QUICK CONNECTORS
27121704,HYDRAULIC UNIONS
27121802,HYDRAULIC ACCUMULATORS
2712181501,OPEN END HYDRAULIC WRENCH
2712181502,SQUARE DRIVE HYDRAULIC WRENCH
2712181503,HYDRAULIC TENSIONER
2712181504,HEX DRIVE HYDRAULIC WRENCH
27131502,COMPRESSED AIR GUN
27131504,PNEUMATIC HAMMER
